고객번호,고객이름,전화번호,주소,나이,고객등급,담당직원코드
1,김승재,010-2222-2222,서울특별시 강남구,50,MS001,1709
2,윤지우,010-5555-5555,서울특별시 마포구,30,MS001,1709
3,박보검,010-1234-1234,서울특별시 성북구,25,MS002,1709
4,송강,010-3333-3333,서울특별시 마포구,28,MS004,1709
5,송혜교,010-9999-9999,서울특별시 서초구,29,MS002,1205
6,김수민,010-6666-6666,부산광역시 중구,31,MS003,1205
7,한소희,010-1111-1111,대전광역시 유성구,36,MS001,1205
8,구민수,010-8888-8888,대구광역시 중구,45,MS004,1205
9,홍수민,010-7777-7777,울산광역시 남구,61,MS004,906
10,김민정,010-0000-0000,인천광역시 남동구,49,MS002,906
11,임성빈,010-1111-2222,수원시 장안구,27,MS004,906
12,유재석,010-1111-3333,서울특별시 용산구,50,MS003,906
13,김태연,010-2222-1111,서울특별시 서대문구,30,MS004,9901
14,유연석,010-1111-4444,서울특별시 양천구,34,MS004,9901
15,이유나,010-5555-9999,광주광역시 서구,22,MS004,9901
16,강민경,010-6666-3333,세종특별자치시 보람동,25,MS001,9901
17,백예린,010-7777-2222,대구광역시 동구,21,MS003,2012
18,전지현,010-8888-5555,부산광역시 영도구,56,MS004,2012
19,김수현,010-9999-1111,부산광역시 해운대구,67,MS002,2012
20,권지용,010-2222-8888,대구광역시 동구,39,MS002,2012
